194229;Hugo Mallo Novegil;Hugo Mallo Novegil;29;RB RWB;Right;107;145;173;69;2;€23K;€9.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p194229.png?v=22;
193408;Haris Seferovic;Haris Seferovic;28;ST;Left;43;44;189;85;14;€16K;€11M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p193408.png?v=22;
230481;Ronaldo Cabrais;Ronaldo Cabrais;28;RW;Right;117;56;177;75;34;€53K;€36.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p230481.png?v=22;
194958;Mooy;Mooy;29;CM CAM;Right;138;55;173;72;19;€15.5K;€10.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p194958.png?v=22;
196147;Giovanni Moreno;Giovanni Moreno;34;ST CAM;Left;193;73;192;83;10;€20K;€5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p196147.png?v=22;
211300;Anthony Martial;Anthony Martial;24;ST LM;Right;7;97;184;76;9;€130K;€42M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p211300.png?v=22;
173731;Gareth Bale;Gareth Bale;30;RM RW;Left;16;107;185;82;9;€110K;€29.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p173731.png?v=22;
214997;Ángel Correa;Angel Correa;25;ST RM;Right;11;126;171;70;10;€70K;€37M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p214997.png?v=22;
186561;Aaron Ramsey;Aaron Ramsey;29;CM CAM LM;Right;1;107;183;76;8;€98K;€29.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p186561.png?v=22;
223689;Wout Weghorst;Wout Weghorst;27;ST;Right;307;155;197;84;9;€67K;€33M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p223689.png?v=22;
184200;Marko Arnautović;Marko Arnautovic;31;ST;Right;138;92;192;83;7;€23.5K;€25.5M;https://cdn.fifacm.com/content/media/imgs/fifa21/players/p184200.png?v=22;
